世代,個体No,実値,適応度, 係数0, 係数1
500,52,-2.112,-21.120,1.88,0.84
501,21,-7.069,-70.690,-0.58,4.14
502,63,-7.585,-75.850,3.27,0.43
503,65,-0.068,-0.681,0.75,2.07
504,90,-7.816,-78.160,0.18,4.67
505,54,-15.216,-152.158,0.17,-1.81
506,93,-7.790,-77.903,2.97,3.97
507,9,-2.194,-21.944,2.45,2.29
508,17,-1.320,-13.204,1.62,2.97
509,20,-8.617,-86.166,1.92,-0.79
510,13,-0.282,-2.819,0.86,2.51
511,78,-3.725,-37.246,-0.80,2.69
512,22,-1.985,-19.851,0.57,3.34
513,12,-13.818,-138.183,-0.74,5.29
514,51,-5.910,-59.097,1.22,-0.42
515,67,-2.297,-22.974,2.08,0.93
516,35,-1.492,-14.918,1.89,1.17
517,91,-21.190,-211.899,4.76,-0.65
518,99,-1.529,-15.293,0.96,3.24
519,52,-6.711,-67.112,-0.71,3.95
520,5,-0.620,-6.200,0.82,2.77
521,91,-2.926,-29.262,2.44,1.08
522,86,-14.769,-147.693,-1.95,-0.47
523,51,-0.686,-6.864,1.40,1.28
524,10,-2.207,-22.066,1.49,3.40
525,93,-0.739,-7.386,0.97,1.14
526,30,-6.766,-67.661,2.70,3.97
527,52,-6.844,-68.437,3.61,2.23
528,44,-2.702,-27.021,-0.48,2.72
529,56,-5.333,-53.332,-0.13,4.01
530,28,-11.265,-112.649,3.89,3.71
531,39,-3.820,-38.200,-0.95,2.15
532,89,-2.302,-23.019,-0.05,0.91
533,79,-13.610,-136.102,3.86,-0.33
534,80,-4.219,-42.185,0.56,4.01
535,76,-0.354,-3.541,1.54,2.25
536,95,-11.273,-112.730,-2.36,1.93
537,37,-0.387,-3.870,0.51,1.62
538,23,-18.454,-184.538,-2.53,4.45
539,42,-4.594,-45.944,-0.67,0.65
540,79,-4.152,-41.521,-0.56,0.69
541,20,-9.010,-90.103,-1.88,1.16
542,95,-5.578,-55.783,-1.36,1.91
543,99,-3.375,-33.746,1.54,0.24
544,73,-3.811,-38.112,2.55,0.82
